Kartenart,Name,Kartentext,Element,Kosten,⚔️,🛡️,⭕️,Kartentyp,Status,ID,Flavourtext,Created by,Artwork,Art Production,Decklist,Glossar,Kosten Aeris,Kosten Aqua,Kosten Ignis,Kosten Magica,Kosten Terra,Kosten Ungeprägt,Kritik,Zustimmung
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),“Halt!”,"Sofort spielbar
Verhindere, dass ein Charakter ins Spiel kommt.",Magica (https://www.notion.so/Magica-ba80d98941c8405d875cb3e6fdb6bf34?pvs=21),"1,M,M,",,,,,Neu,221,,Slain,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/221.png,,,,,,,2,,1,,C. Playtest
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),“Schildwall!”,"Sofort spielbar
Bringe X Charaktere in Verteidigungsposition.",Magica (https://www.notion.so/Magica-ba80d98941c8405d875cb3e6fdb6bf34?pvs=21),"X,M,M,",,,,,Neu,181,,Slain,,,,,,,,2,,X,,C. Playtest
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Aeris-Duellant,"Angreifer.
Darf nur Charaktere angreifen.",Aeris (https://www.notion.so/Aeris-5996f3899d7740fc809fe30a652d20c6?pvs=21),"1,E,",30/20,-/-,,,Neu,260,,Slain,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/260.png,,Untitled (https://www.notion.so/957f30ba0fee4f31b1616ef55024b5d8?pvs=21),,1,,,,,1,,C. Playtest
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Aeris-Kraftkugel,"Sofort spielbar
Ändere die Position eines Charakters, den du kontrollierst.",Aeris (https://www.notion.so/Aeris-5996f3899d7740fc809fe30a652d20c6?pvs=21),"1,E,",,,,,Neu,165,,Slain,,,Untitled (https://www.notion.so/2eb187a826cb4fb9b173de0dd4aa2e9c?pvs=21),Sofort spielbar (https://www.notion.so/Sofort-spielbar-294a02b665464d4ab9d64e4e102d6bd1?pvs=21),1,,,,,1,,C. Playtest
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Aeriskind,Stellungswechsel,Aeris (https://www.notion.so/Aeris-5996f3899d7740fc809fe30a652d20c6?pvs=21),"2,A,",15/20,20/25,,,Playtest,358,,Gut Christian,,,,Stellungswechsel (https://www.notion.so/Stellungswechsel-36d400e3049d4b8d8a51c721d4ddfa0a?pvs=21),,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Akata,"Elementarvolk, Akata
Immer wenn ein anders Elementarvolk ins Spiel kommt, ziehe eine Karte.",Ignis (https://www.notion.so/Ignis-ca68b053cd74404a8fa85893e505b753?pvs=21),4,20,20,,,Idee,195,,Slain,,,,,,,,,,,,
Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),Alternativer Schmerz,"Statt für eine Karte (https://www.notion.so/Karte-6ddef2a437ec4b918cdc8a75c9262128?pvs=21) zusätzlich (https://www.notion.so/zus-tzlich-a23f9b82df1d444c8d5586d469aee01f?pvs=21)e Kosten zu bezahlen, werfe stattdessen eine Karte (https://www.notion.so/Karte-6ddef2a437ec4b918cdc8a75c9262128?pvs=21) ab (https://www.notion.so/ab-3f245ce4bda845e09078a709034e2907?pvs=21). Wenn das passiert, zerstör (https://www.notion.so/zerst-r-353ca16d2f8a4864a2987a024552914f?pvs=21)e Alternativer Schmerz (https://www.notion.so/Alternativer-Schmerz-40034790a31740ae80f341b477bf84b4?pvs=21).",,2,,30,,,Backup,98,,Tim,,,,,,,,,,,,
Manifestation (https://www.notion.so/Manifestation-01fa783543da4ed2964edb521e465bd0?pvs=21),Angebot & Nachfrage,"Der Spieler (https://www.notion.so/Spieler-8f9b118372384c41817b4234398dfa75?pvs=21) am Zug (https://www.notion.so/Zug-1dea8b0b0db6480ea14c8b3f2d6dda20?pvs=21) darf mit den anderen Spieler (https://www.notion.so/Spieler-8f9b118372384c41817b4234398dfa75?pvs=21)n handeln: Karte (https://www.notion.so/Karte-6ddef2a437ec4b918cdc8a75c9262128?pvs=21)n, Elementare und Münze (https://www.notion.so/M-nze-8a43ae64dd89409b80adca5a926d497b?pvs=21)n dürfen beliebig gehandelt und geschenkt werden.",,0,0,0,,,Backup,80,,Jan Appel,,,,,,,,,,,,
Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Angsteinjagendes Gebrüll,"Falls ein Wildtier (https://www.notion.so/Wildtier-566a219b7ef049469e5743f0e8b351de?pvs=21) angegriffen wird, gebe den Angreifenden Charakter auf die Hand des Besitzers zurück",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),3,,,,,Backup,131,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._closup_snort_of_angry_beast_roaring._shock_waves_forest_c_bcc9b9fe-5c73-4b35-9d28-66b3c0700464.png,,,,,,,,,,,
Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Annun Kamik, der Eismagier","Einzigartig
Wenn Annun Kamik, der Eismagier das Schlachtfeld betritt, verbanne einen Charakter mit Elementarkosten 4 oder weniger, bis Annun Kamik, der Eismagier das Schlachtfeld verlässt.",Magica (https://www.notion.so/Magica-ba80d98941c8405d875cb3e6fdb6bf34?pvs=21),"2,M,M,M,",35/20,20/20,,,Neu,407,"Albträume zeigen uns was zerstört werden muss, damit Neues entstehen kann.",Gut Christian,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/Anun.jpg,"Annun Kamik, der Eismagier (https://www.notion.so/Annun-Kamik-der-Eismagier-08e0b53723d24f4888a4e173d20593cb?pvs=21)",,Einzigartig (https://www.notion.so/Einzigartig-6922b018ce444b998180b93ddb0997ab?pvs=21),,,,3,,2,,C. Playtest
