ID,Status,Name,Einzigartig,Kartenart,Kartentext-Planung,Kartentext,Flavourtext,Element,⚔️,🛡️,⭕️,Kartentyp,Kosten Aeris,Kosten Aqua,Kosten Ignis,Kosten Magica,Kosten Terra,Kosten Ungeprägt,Erstellt von,Artwork,Art Production,Glossar,Erstellungsdatum,Kritik,Letzte Änderung,Set Release,Zustimmung
3,TCG Arena,Weißer Greif,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Wenn ich sterbe, kehrt ich auf deine Hand zurück.","Wenn <self>ich</self> <key>sterbe</key>, kehre <self>ich</self> auf Deine <zone>Hand</zone> zurück.","Sie sahen ihn kommen, wie jedes Mal: ein Sturm aus Federn zwischen den Wolken – und sie wussten, dass Aeris sich einmal mehr auf ihre Seite stellt.",Aeris (https://www.notion.so/Aeris-5996f3899d7740fc809fe30a652d20c6?pvs=21),40/40,40/40,,Bestie (https://www.notion.so/Bestie-95ad0a0b63a24c66940280fe886abd05?pvs=21),3,,,,,3,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/3.png,,,"June 26, 2023 2:24 PM",,"July 24, 2025 8:33 PM",,C. Playtest
4,Playtest,Heulende Eulen,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Sofort spielbar,,"Niemand sah sie kommen, denn alle blickten gen Himmel.",Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),10/10,10/10,,Bestie (https://www.notion.so/Bestie-95ad0a0b63a24c66940280fe886abd05?pvs=21),,,,,1,1,Jan Appel,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._hooting_owl_on_tree_by_Titus_Lunter_mtg_wallpaper_forest__9a89ce6b-c870-4507-a6b7-0cc11223d27b.png,,,"August 23, 2023 11:57 PM",,"May 17, 2025 5:23 PM",,C. Playtest
5,Idee,Korporal Langhorn,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Alle deine Wölfe Bjarturs haben +10 ⚔️ und +15 🛡️.,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),20,20,,Krieger (https://www.notion.so/Krieger-86700da5b47d4073ae8e37cc896f9162?pvs=21),,,,,,,Jan Appel,,,,"August 23, 2023 11:59 PM",,"April 25, 2024 8:56 PM",,
8,Backup,Baumsängerin Betula,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Tribute diese Karte; Rufe ein [7] oder weniger “Besungener Baum” aus dem Deck.,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),35,30,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_sorceress_singing_black_hair_magical_scener_4c55d035-e200-44b0-aee3-0375ab0d96d7.png,,,"August 27, 2023 3:01 PM",,"November 23, 2023 9:37 PM",,
9,Backup,Lieblicher Lautenklang der Baumsängerinnen,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Suche einen Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21) Charakter,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),,,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._harp_forest_background_fantasy_concept_art_magic_the_gath_d438ac21-7fe1-4151-b8de-0a41c2369229.png,,,"August 27, 2023 4:52 PM",,"November 23, 2023 9:37 PM",,
12,Backup,Baumsängerin Tilia,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Tribute diese Karte; Rufe ein [8] oder weniger “Besungener Baum” aus dem Deck.,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),45,30,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_barbarian_sorceress_elf_singing_red_hair_ma_40f3759a-a129-42cc-b94a-65bb78a7ffe5.png,,,"August 27, 2023 8:38 PM",,"November 23, 2023 9:37 PM",,
13,Backup,Baumsängerin Abies,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Falls diese Karte auf den Friedhof gelegt wird; Rufe ein “Besungener Baum” von deinem Friedhof (Einmal pro Spielzug),,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),35,20,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_barbarian_sorceress_elf_singing_red_hair_ma_a9278542-fe50-46f4-be5f-1eed3f953a60.png,,,"August 27, 2023 8:40 PM",,"November 24, 2023 10:21 AM",,
14,Backup,Heiterer Lautenklang der Baumsängerinnen,No,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),Suche einen Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21) Charakter,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),,,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._harp_forest_background_fantasy_concept_art_magic_the_gath_4e621d90-bc0f-406d-8992-11abe88e0004.png,,,"August 27, 2023 8:42 PM",,"November 23, 2023 9:37 PM",,
15,Backup,Baumsängerin Larix,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Tribute diese Karte; Rufe ein [6] oder weniger “Besungener Baum” aus dem Deck.,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),30,30,,,,,,,,,Timon,Alle%20Karten%2070ddd0aaafb74f56b205e643b0901290/wia._celtic_shaman_sorceress_singing_brown_hair_magical_scener_60872445-330f-4be8-bb49-b4ff54b07aba.png,,,"August 27, 2023 8:43 PM",,"November 23, 2023 9:37 PM",,
16,Backup,Besungener Baum Fagus,No,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Alle verbündeten Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21)  und Wildtier (https://www.notion.so/Wildtier-566a219b7ef049469e5743f0e8b351de?pvs=21)  Kosten 1 Element weniger um sie zu rufen,,,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),0,55,,,,,,,,,Timon,,,,"August 27, 2023 8:45 PM",,"November 23, 2023 9:37 PM",,
