Name,Charakter Pipeline,Design Skelett,Einzigartig,Element,Erstellt von,Erstellungsdatum,Flavourtext,ID,Idee Brackground,Kartenart,Kartentext,Kartentext-Planung,Kartentyp,Kosten Aeris,Kosten Aqua,Kosten Ignis,Kosten Magica,Kosten Terra,Kosten Ungeprägt,Letzte Änderung,Rarität,Set Release,Slot zugewiesen,Status,⚔️,⭕️,🛡️
Weißer Greif,,,No,Aeris (https://www.notion.so/Aeris-5996f3899d7740fc809fe30a652d20c6?pvs=21),Timon,"June 26, 2023 2:24 PM","Sie sahen ihn kommen, wie jedes Mal: ein Sturm aus Federn zwischen den Wolken – und sie wussten, dass Aeris sich einmal mehr auf ihre Seite stellt.",3,,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),"Wenn <self>ich</self> <key>sterbe</key>, kehre <self>ich</self> auf Deine <zone>Hand</zone> zurück.","Wenn ich sterbe, kehrt ich auf deine Hand zurück.",Bestie (https://www.notion.so/Bestie-95ad0a0b63a24c66940280fe886abd05?pvs=21),3,,,,,3,"October 27, 2025 10:32 PM",,TCG Arena (https://www.notion.so/TCG-Arena-29995bba56ba8075ab9efa1a1e76ba80?pvs=21),No,TCG Arena,40/40,,40/40
Heulende Riesen-Eule,,EC10 (https://www.notion.so/EC10-28695bba56ba8103833ef01026f2b97d?pvs=21),No,Aeris (https://www.notion.so/Aeris-5996f3899d7740fc809fe30a652d20c6?pvs=21),Jan Appel,"August 23, 2023 11:57 PM","Niemand sah sie kommen, denn alle blickten gen Himmel.",4,,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),Sofort spielbar,Sofort spielbar,Bestie (https://www.notion.so/Bestie-95ad0a0b63a24c66940280fe886abd05?pvs=21),1,,,,,3,"October 27, 2025 5:21 PM",Common,Internal Playtesting (https://www.notion.so/Internal-Playtesting-29895bba56ba80729756daaaa59bd560?pvs=21),Yes,Export,20/35,,20/40
Korporal Langhorn,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Jan Appel,"August 23, 2023 11:59 PM",,5,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Alle deine Wölfe Bjarturs haben +10 ⚔️ und +15 🛡️.,Krieger (https://www.notion.so/Krieger-86700da5b47d4073ae8e37cc896f9162?pvs=21),,,,,,,"August 10, 2025 8:22 PM",,,No,Backup,20,,20
Baumsängerin Betula,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 3:01 PM",,8,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Tribute diese Karte; Rufe ein [7] oder weniger “Besungener Baum” aus dem Deck.,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,35,,30
Lieblicher Lautenklang der Baumsängerinnen,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 4:52 PM",,9,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,Suche einen Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21) Charakter,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Baumsängerin Tilia,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 8:38 PM",,12,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Tribute diese Karte; Rufe ein [8] oder weniger “Besungener Baum” aus dem Deck.,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,45,,30
Baumsängerin Abies,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 8:40 PM",,13,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Falls diese Karte auf den Friedhof gelegt wird; Rufe ein “Besungener Baum” von deinem Friedhof (Einmal pro Spielzug),,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,35,,20
Heiterer Lautenklang der Baumsängerinnen,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 8:42 PM",,14,Erste Ideen,Ereignis (https://www.notion.so/Ereignis-88e179fa1fd740499a32ee3ed4377596?pvs=21),,Suche einen Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21) Charakter,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,,,
Baumsängerin Larix,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 8:43 PM",,15,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Tribute diese Karte; Rufe ein [6] oder weniger “Besungener Baum” aus dem Deck.,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,30,,30
Besungener Baum Fagus,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 8:45 PM",,16,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Alle verbündeten Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21)  und Wildtier (https://www.notion.so/Wildtier-566a219b7ef049469e5743f0e8b351de?pvs=21)  Kosten 1 Element weniger um sie zu rufen,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,0,,55
Besungener Baum Carpinus,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 8:50 PM",,17,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Bezahle 2 Terra; Zerstöre einen Charakter (Einmal pro Spielzug),,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,0,,85
Besungener Baum Aesculus,,,No,Terra (https://www.notion.so/Terra-a6762ab5136d4598aafb8d77da6be70f?pvs=21),Timon,"August 27, 2023 8:52 PM",,18,Erste Ideen,Charakter (https://www.notion.so/Charakter-cdfda7ca52aa435bbb22610007798d2f?pvs=21),,Um den Effekt einer Baumsängerin (https://www.notion.so/Baums-ngerin-af7ba6f57aba4f63b5ceb62076cff89a?pvs=21) zu aktiveren kannst du anstelle sie als Tribut anzubieten 2 Terra bezahlen,,,,,,,,"August 10, 2025 8:21 PM",,,No,Backup,0,,55
